2025-03-31 19:04:29,145 [INFO] ✅ Resumed model weights from experiments/mug/pick/segnet.pth
2025-03-31 19:04:29,840 [INFO] ✅ Resumed manipulation model from experiments/mug/pick/maninet.pth
2025-03-31 20:24:51,317 [INFO] Epoch: 1, pos loss: , 0.0033893573563545942, ori loss: , 0.8561701774597168
2025-03-31 20:24:52,629 [INFO] Epoch: 1, pos loss: , 0.002176903886720538, ori loss: , 0.6824870109558105
2025-03-31 20:24:54,325 [INFO] Epoch: 1, pos loss: , 0.003831571666523814, ori loss: , 0.521012544631958
2025-03-31 20:24:55,444 [INFO] Epoch: 1, pos loss: , 0.0014328417601063848, ori loss: , 0.90236896276474
2025-03-31 20:24:56,639 [INFO] Epoch: 1, pos loss: , 0.0031046178191900253, ori loss: , 0.7415587902069092
2025-03-31 20:24:57,529 [INFO] Epoch: 1, pos loss: , 0.0007695664535276592, ori loss: , 0.5753353238105774
2025-03-31 20:24:58,564 [INFO] Epoch: 1, pos loss: , 0.0008867629803717136, ori loss: , 0.9098308086395264
2025-03-31 20:25:00,133 [INFO] Epoch: 1, pos loss: , 0.002637698082253337, ori loss: , 0.47638362646102905
2025-03-31 20:25:01,550 [INFO] Epoch: 1, pos loss: , 0.0004242554714437574, ori loss: , 0.46310409903526306
2025-03-31 20:25:02,620 [INFO] Epoch: 1, pos loss: , 0.0026365143712610006, ori loss: , 0.7684047222137451
2025-03-31 20:25:03,617 [INFO] Epoch: 1, pos loss: , 0.004845708608627319, ori loss: , 1.0519566535949707
2025-03-31 20:25:05,522 [INFO] Epoch: 1, pos loss: , 0.00412007188424468, ori loss: , 0.7461860179901123
2025-03-31 20:25:06,924 [INFO] Epoch: 1, pos loss: , 0.002113552065566182, ori loss: , 0.6370818614959717
2025-03-31 20:25:08,252 [INFO] Epoch: 1, pos loss: , 0.004903072491288185, ori loss: , 0.35018491744995117
2025-03-31 20:25:09,993 [INFO] Epoch: 1, pos loss: , 0.0006166878156363964, ori loss: , 0.796923816204071
2025-03-31 20:25:10,055 [INFO] Epoch: 1, pos loss: , 0.007256162818521261, ori loss: , 0.7224428653717041
2025-03-31 20:25:10,111 [INFO] Epoch: 1, pos loss: , 0.006371858064085245, ori loss: , 0.8346937298774719
2025-03-31 20:25:11,671 [INFO] Epoch: 1, pos loss: , 0.0007510755676776171, ori loss: , 0.4434870183467865
2025-03-31 20:25:13,417 [INFO] Epoch: 1, pos loss: , 0.0021935999393463135, ori loss: , 0.44950151443481445
2025-03-31 20:25:14,498 [INFO] Epoch: 1, pos loss: , 0.002617978723719716, ori loss: , 0.7939838171005249
2025-03-31 20:25:14,555 [INFO] Epoch: 1, pos loss: , 0.006862066686153412, ori loss: , 0.3359467387199402
2025-03-31 20:25:16,878 [INFO] Epoch: 1, pos loss: , 0.0017045795684680343, ori loss: , 1.0169545412063599
2025-03-31 20:25:16,949 [INFO] Epoch: 1, pos loss: , 0.003638616995885968, ori loss: , 1.0521146059036255
2025-03-31 20:25:17,008 [INFO] Epoch: 1, pos loss: , 0.0073329792357981205, ori loss: , 0.5728128552436829
2025-03-31 20:25:18,053 [INFO] Epoch: 1, pos loss: , 0.0032080141827464104, ori loss: , 0.9717427492141724
2025-03-31 20:25:19,875 [INFO] Epoch: 1, pos loss: , 0.0012101492611691356, ori loss: , 0.7735084295272827
2025-03-31 20:25:21,264 [INFO] Epoch: 1, pos loss: , 0.007768816780298948, ori loss: , 0.6428878307342529
2025-03-31 20:25:22,776 [INFO] Epoch: 1, pos loss: , 0.0039826142601668835, ori loss: , 0.889512300491333
2025-03-31 20:25:24,415 [INFO] Epoch: 1, pos loss: , 0.006984727457165718, ori loss: , 0.7909479141235352
2025-03-31 20:25:24,468 [INFO] Epoch: 1, pos loss: , 0.004555600229650736, ori loss: , 0.917892336845398
2025-03-31 20:25:26,375 [INFO] Epoch: 1, pos loss: , 0.006955260876566172, ori loss: , 0.6062827706336975
2025-03-31 20:25:27,283 [INFO] Epoch: 1, pos loss: , 0.0007852667476981878, ori loss: , 0.3449050486087799
2025-03-31 20:25:28,937 [INFO] Epoch: 1, pos loss: , 0.006158873904496431, ori loss: , 0.7116026282310486
2025-03-31 20:25:30,168 [INFO] Epoch: 1, pos loss: , 1.5110774256754667e-05, ori loss: , 0.3608754575252533
2025-03-31 20:25:31,606 [INFO] Epoch: 1, pos loss: , 0.008070161566138268, ori loss: , 0.9372531175613403
